Item_Code|Item_Name|Manu_Code|Manu_Name|Sale_Qty|Bon_Qty|Dis_Perc|Dis_Amt|Spr_PTR|Stax_Perc|Sret_Qty|Pack_Size|OP_Bal|Cl_Bal|Acode|From_Date|To_Date
102030|COLD ACT SYP                  60ML|1048|SUN SOLARES|208|12|0|123.34|22.62|4.00|0|60ML|197.00|7.00|AIOCD6034|01/01/2009|31/01/2009
102031|COLD ACT PLUS SYP             60ML|1048|SUN SOLARES|35|2|0|40.74|23.40|4.00|0|60ML|69.00|32.00|AIOCD6034|01/01/2009|31/01/2009
102033|SPLANZ 15MG CAPS              10'S|1048|SUN SOLARES|0|0|0|0.00|25.62|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102034|ZOFER-8MG INJ                  4ML|1048|SUN SOLARES|0|0|0|0.00|32.72|4.00|0|4ML|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102036|EZACT 90 TAB                  10'S|1048|SUN SOLARES|80|0|0|106.66|56.15|4.00|0|10'S|63.00|33.00|AIOCD6034|01/01/2009|31/01/2009
102037|ROFACT 50MG TAB               10'S|1048|SUN SOLARES|0|0|0|0.00|53.52|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102038|TIZARAN 10MG TAB              10'S|1048|SUN SOLARES|4|0|0|17.40|54.39|4.00|0|10'S|4.00|20.00|AIOCD6034|01/01/2009|31/01/2009
102039|EZACT-120                     10'S|1048|SUN SOLARES|5|0|0|8.10|81.11|4.00|0|10'S|20.00|15.00|AIOCD6034|01/01/2009|31/01/2009
102040|VERIZET D                     10'S|1048|SUN SOLARES|125|0|0|137.42|37.85|4.00|-1|10'S|171.00|47.00|AIOCD6034|01/01/2009|31/01/2009
102041|SOMPRAZ D 40MG                10'S|1048|SUN SOLARES|153|0|0|169.29|63.17|4.00|-6|10'S|207.00|130.00|AIOCD6034|01/01/2009|31/01/2009
102042|DULANE 30                     10'S|1048|SUN SOLARES|31|0|0|25.74|58.49|4.00|-2|10'S|7.00|18.00|AIOCD6034|01/01/2009|31/01/2009
102043|SPARLOX 200MG                  6'S|1048|SUN SOLARES|56|0|0|43.20|58.09|4.00|0|6'S|85.00|49.00|AIOCD6034|01/01/2009|31/01/2009
102044|FLUNAT 10MG                   10'S|1048|SUN SOLARES|0|0|0|0.00|12.27|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102048|EZACT-60                      10'S|1048|SUN SOLARES|62|0|0|119.86|47.57|4.00|-1|10'S|27.00|6.00|AIOCD6034|01/01/2009|31/01/2009
102049|SOMPRAZ FAST 20               10'S|1048|SUN SOLARES|3|0|0|2.13|35.47|4.00|-3|10'S|23.00|23.00|AIOCD6034|01/01/2009|31/01/2009
102055|DEPOPRED INJ 2ML               2ML|1048|SUN SOLARES|22|0|0|9.25|21.02|4.00|0|2ML|26.00|4.00|AIOCD6034|01/01/2009|31/01/2009
102060|DILTER CD-90MG CAP             6'S|1048|SUN SOLARES|0|0|0|0.00|28.73|4.00|0|6'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102061|BETAVERT MD 16                10'S|1048|SUN SOLARES|0|0|0|0.00|52.04|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102062|BETAVERT MD 8                 10'S|1048|SUN SOLARES|0|0|0|0.00|28.28|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102065|DEPOPRED  INJ 1ML              1ML|1048|SUN SOLARES|0|0|0|0.00|14.44|4.00|0|1ML|26.00|26.00|AIOCD6034|01/01/2009|31/01/2009
102066|PANLIPASE                     10'S|1048|SUN SOLARES|54|0|0|107.64|80.33|4.00|0|10'S|49.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102067|ORNIZEN 500MG TAB             10'S|1048|SUN SOLARES|0|0|0|0.00|40.00|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102069|NATACLOX 250MG CAP            10'S|1048|SUN SOLARES|0|0|0|0.00|20.57|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
103259|ROFACT 12.5MG TAB             10'S|1048|SUN SOLARES|0|0|0|0.00|20.86|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
104036|ZOFER-8MG TAB                  4'S|1048|SUN SOLARES|0|0|0|0.00|134.16|4.00|0|4'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
104124|GATILOX-200MG TAB             10'S|1048|SUN SOLARES|0|0|0|0.00|46.47|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
104125|GATILOX 400MG TAB             10'S|1048|SUN SOLARES|23|0|0|44.63|85.79|4.00|0|10'S|0.00|17.00|AIOCD6034|01/01/2009|31/01/2009
104209|DESLOR-5MG TAB                10'S|1048|SUN SOLARES|416|0|0|430.77|39.77|4.00|-2|10'S|254.00|0.00|AIOCD6034|01/01/2009|31/01/2009
104375|SOMPRAZ-40                    10'S|1048|SUN SOLARES|231|0|0|230.37|38.53|4.00|0|10'S|72.00|36.00|AIOCD6034|01/01/2009|31/01/2009
104612|SOMPRAZ-20 TAB                10'S|1048|SUN SOLARES|101|0|0|73.15|26.13|4.00|-5|10'S|58.00|22.00|AIOCD6034|01/01/2009|31/01/2009
104867|DULANE 40                      10'|1048|SUN SOLARES|0|0|0|0.00|73.30|4.00|0|10'|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
105000|BETAVERT 16MG TAB             10'S|1048|SUN SOLARES|126|0|0|171.24|56.15|4.00|-7|10'S|48.00|9.00|AIOCD6034|01/01/2009|31/01/2009
105001|BETAVERT  8MG TAB             10'S|1048|SUN SOLARES|185|0|0|109.75|31.19|4.00|-3|10'S|123.00|46.00|AIOCD6034|01/01/2009|31/01/2009
105005|CETRIZET D TAB                10'S|1048|SUN SOLARES|340|0|0|201.42|28.08|4.00|0|10'S|182.00|302.00|AIOCD6034|01/01/2009|31/01/2009
105077|THIOACT 4                     10'S|1048|SUN SOLARES|74|0|0|90.73|75.65|4.00|-1|10'S|46.00|3.00|AIOCD6034|01/01/2009|31/01/2009
105114|AQUAMET NASAL SPRA             1'S|1048|SUN SOLARES|55|0|0|226.03|161.43|4.00|0|1'S|20.00|19.00|AIOCD6034|01/01/2009|31/01/2009
105411|VERIZET 5MG TAB               10'S|1048|SUN SOLARES|0|0|0|0.00|27.61|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
105473|SILBOSTIN                     10'S|1048|SUN SOLARES|94|0|0|74.92|64.61|4.00|-1|10'S|37.00|44.00|AIOCD6034|01/01/2009|31/01/2009
105520|SOMPRAZ IT                    10'S|1048|SUN SOLARES|78|0|0|173.88|81.42|4.00|-4|10'S|21.00|1.00|AIOCD6034|01/01/2009|31/01/2009
106654|GRANISET-3 INJ                VIAL|1048|SUN SOLARES|0|0|0|0.00|56.55|4.00|0|VIAL|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
106723|ROFACT 25MG                   10'S|1048|SUN SOLARES|0|0|0|0.00|27.58|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
106787|GRANISET-1 INJ                VIAL|1048|SUN SOLARES|0|0|0|0.00|23.11|4.00|0|VIAL|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
106837|BETAVERT 24                   10'S|1048|SUN SOLARES|14|0|0|47.60|85.01|4.00|0|10'S|10.00|16.00|AIOCD6034|01/01/2009|31/01/2009
106838|PREDMET 16                    10'S|1048|SUN SOLARES|51|0|0|19.88|35.54|4.00|0|10'S|21.00|5.00|AIOCD6034|01/01/2009|31/01/2009
106839|PREDMET 4                     10'S|1048|SUN SOLARES|539|0|0|101.68|9.57|4.00|-3|10'S|87.00|11.00|AIOCD6034|01/01/2009|31/01/2009
106840|SOMPRAZ D 20MG                10'S|1048|SUN SOLARES|87|0|0|95.16|43.67|4.00|0|10'S|27.00|60.00|AIOCD6034|01/01/2009|31/01/2009
107047|DULANE 20MG TAB               10'S|1048|SUN SOLARES|64|0|0|55.59|39.77|4.00|-3|10'S|30.00|9.00|AIOCD6034|01/01/2009|31/01/2009
107076|ROFACLO P                     10'S|1048|SUN SOLARES|0|0|0|0.00|20.53|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
107554|DICLOPRAZ                     10'S|1048|SUN SOLARES|3|0|0|2.22|37.05|4.00|0|10'S|7.00|4.00|AIOCD6034|01/01/2009|31/01/2009
107587|SOMPRAZ I.V                   VIAL|1048|SUN SOLARES|0|0|0|0.00|40.16|4.00|0|VIAL|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
108067|PREDMET 8                     10'S|1048|SUN SOLARES|143|0|0|51.79|21.92|4.00|0|10'S|33.00|75.00|AIOCD6034|01/01/2009|31/01/2009
108240|THIOACT 8                     10'S|1048|SUN SOLARES|19|0|0|38.88|138.82|4.00|-3|10'S|53.00|37.00|AIOCD6034|01/01/2009|31/01/2009
109594|DULANE M 20MG                 10'S|1048|SUN SOLARES|0|0|0|0.00|46.50|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
109689|DULANE M 30MG CAP             10'S|1048|SUN SOLARES|0|0|0|0.00|62.27|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
109962|ZOLNITE 1MG                   10'S|1048|SUN SOLARES|0|0|0|0.00|33.10|4.00|0|10'S|0.00|10.00|AIOCD6034|01/01/2009|31/01/2009
109964|ZOLNITE 2MG                   10'S|1048|SUN SOLARES|15|0|0|8.56|47.57|4.00|0|10'S|12.00|2.00|AIOCD6034|01/01/2009|31/01/2009
110350|PREDMET 24                    10'S|1048|SUN SOLARES|0|0|0|0.00|152.31|4.00|0|10'S|4.00|4.00|AIOCD6034|01/01/2009|31/01/2009
110351|SPILACTONE 100MG              10'S|1048|SUN SOLARES|0|0|0|0.00|44.19|4.00|0|10'S|11.00|11.00|AIOCD6034|01/01/2009|31/01/2009
110352|SOMPRAZ FAST 40               10'S|1048|SUN SOLARES|0|0|0|0.00|54.42|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
110485|LESURIDE                      10'S|1048|SUN SOLARES|281|0|0|216.21|43.35|4.00|-11|10'S|134.00|144.00|AIOCD6034|01/01/2009|31/01/2009
112584|SOFALCO                       10'S|1048|SUN SOLARES|114|0|0|173.30|42.89|4.00|0|10'S|257.00|143.00|AIOCD6034|01/01/2009|31/01/2009
113493|M|1048|SUN SOLARES|19|0|0|29.93|106.89|4.00|0|10'S|19.00|0.00|AIOCD6034|01/01/2009|31/01/2009
113574|MONDESLOR                         10'S|1048|SUN SOLARES|75|0|0|100.52|106.89|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
113671|THIOACT D4                                10'S|1048|SUN SOLARES|14|0|0|22.55|80.56|4.00|0|10'S|0.00|36.00|AIOCD6034|01/01/2009|31/01/2009
113672|THIOACT D8                               10'S|1048|SUN SOLARES|2|0|0|5.71|142.71|4.00|0|10'S|0.00|18.00|AIOCD6034|01/01/2009|31/01/2009
105003|CETRIZET 10MG TAB             10'S|1110|SUN ORTUS|35|0|0|14.52|29.19|4.00|0|10'S|17.00|52.00|AIOCD6034|01/01/2009|31/01/2009
105004|CETRIZET 5MG TAB              10'S|1110|SUN ORTUS|165|0|0|70.78|19.65|4.00|0|10'S|115.00|0.00|AIOCD6034|01/01/2009|31/01/2009
105006|DAZIT-5                       10'S|1110|SUN ORTUS|48|0|0|24.67|39.77|4.00|-1|10'S|14.00|36.00|AIOCD6034|01/01/2009|31/01/2009
105017|FELDEX                        10'S|1110|SUN ORTUS|176|0|0|139.03|51.47|4.00|-18|10'S|181.00|153.00|AIOCD6034|01/01/2009|31/01/2009
105030|SUPRATOP CREAM                10GM|1110|SUN ORTUS|1|0|0|1.51|75.67|4.00|0|10GM|7.00|6.00|AIOCD6034|01/01/2009|31/01/2009
105059|SKELACT                       10'S|1110|SUN ORTUS|51|0|0|33.53|37.83|4.00|0|10'S|30.00|9.00|AIOCD6034|01/01/2009|31/01/2009
105335|ZEMPRED CREAM                 10GM|1110|SUN ORTUS|15|0|0|14.74|66.92|4.00|0|10GM|16.00|17.00|AIOCD6034|01/01/2009|31/01/2009
105354|ZEMPRED 8                     10'S|1110|SUN ORTUS|35|0|0|14.04|21.92|4.00|0|10'S|25.00|0.00|AIOCD6034|01/01/2009|31/01/2009
105398|ROLSICAL-SOFTGEL              10'S|1110|SUN ORTUS|0|0|0|0.00|97.02|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
105399|RESTOFOS 10MG TAB             10'S|1110|SUN ORTUS|10|0|0|6.95|49.66|4.00|-1|10'S|28.00|19.00|AIOCD6034|01/01/2009|31/01/2009
105422|RESTOFOS-70MG TAB              4'S|1110|SUN ORTUS|24|0|0|39.93|95.14|4.00|0|4'S|18.00|10.00|AIOCD6034|01/01/2009|31/01/2009
105532|ZEMOSAL 500                   10'S|1110|SUN ORTUS|24|0|0|15.40|40.55|4.00|0|10'S|9.00|0.00|AIOCD6034|01/01/2009|31/01/2009
105534|OSTOSPRAY                      1'S|1110|SUN ORTUS|5|0|0|73.00|737.74|4.00|0|1'S|0.00|4.00|AIOCD6034|01/01/2009|31/01/2009
105646|L-CETRIZET 5MG                10'S|1110|SUN ORTUS|0|0|0|0.00|27.61|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
105719|ONCOTREX 2.5MG TAB            10'S|1110|SUN ORTUS|58|0|0|59.59|43.20|0.00|0|10'S|9.00|21.00|AIOCD6034|01/01/2009|31/01/2009
105987|ROLSICAL PLUS CAPS            10'S|1110|SUN ORTUS|34|0|0|91.60|75.26|4.00|0|10'S|71.00|42.00|AIOCD6034|01/01/2009|31/01/2009
105988|HYDROQUIN                     10'S|1110|SUN ORTUS|138|0|0|171.12|49.91|4.00|0|10'S|65.00|27.00|AIOCD6034|01/01/2009|31/01/2009
106098|IDROFOS 150                    1'S|1110|SUN ORTUS|52|0|0|47.70|132.58|4.00|-5|1'S|25.00|8.00|AIOCD6034|01/01/2009|31/01/2009
106203|ONCOTREX-5MG                  10'S|1110|SUN ORTUS|38|0|0|34.96|62.40|0.00|0|10'S|25.00|27.00|AIOCD6034|01/01/2009|31/01/2009
106204|ONCOTREX-7.5MG                10'S|1110|SUN ORTUS|25|0|0|32.80|91.20|0.00|0|10'S|18.00|13.00|AIOCD6034|01/01/2009|31/01/2009
106313|ROLSICAL OINT                 15GM|1110|SUN ORTUS|23|0|0|65.70|182.49|4.00|0|15GM|12.00|8.00|AIOCD6034|01/01/2009|31/01/2009
106314|XTRAGLO                       10'S|1110|SUN ORTUS|418|0|0|296.00|50.52|12.50|0|10'S|386.00|71.00|AIOCD6034|01/01/2009|31/01/2009
106382|CLENZ                         10GR|1110|SUN ORTUS|1|0|0|0.98|49.23|4.00|-2|10GR|8.00|9.00|AIOCD6034|01/01/2009|31/01/2009
107043|AM-LAQER                     2.5ML|1110|SUN ORTUS|8|0|0|26.22|218.36|4.00|0|2.5ML|6.00|1.00|AIOCD6034|01/01/2009|31/01/2009
107879|ONCOTREX 10                   10'S|1110|SUN ORTUS|11|0|0|14.10|117.60|0.00|-1|10'S|16.00|16.00|AIOCD6034|01/01/2009|31/01/2009
107966|IDROFOS I.V.                  VIAL|1110|SUN ORTUS|0|0|0|0.00|2324.76|4.00|0|VIAL|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
108085|ZEMPRED 16                    10'S|1110|SUN ORTUS|3|0|0|1.36|33.85|4.00|0|10'S|15.00|22.00|AIOCD6034|01/01/2009|31/01/2009
108086|ZEMPRED 4                     10'S|1110|SUN ORTUS|224|0|0|36.94|9.12|4.00|0|10'S|4.00|60.00|AIOCD6034|01/01/2009|31/01/2009
110261|ZEMOSAL 1GM                   10'S|1110|SUN ORTUS|0|0|0|0.00|82.76|4.00|0|10'S|4.00|4.00|AIOCD6034|01/01/2009|31/01/2009
111621|ACNERIL                       15GM|1110|SUN ORTUS|0|0|0|0.00|69.67|4.00|0|15GM|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
112177|DYNOLAP 5                     10'S|1110|SUN ORTUS|43|0|0|12.66|45.72|4.00|0|10'S|8.00|0.00|AIOCD6034|01/01/2009|31/01/2009
113708|ANABREZ                                          1|1110|SUN ORTUS|0|0|0|0.00|0.00|0|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
105252|TROPAN 5MG TAB                10'S|1112|SUN INCA LIFE SCIENCE|47|0|0|49.31|72.53|4.00|0|10'S|0.00|13.00|AIOCD6034|01/01/2009|31/01/2009
105423|TROPAN 2.5MG TAB              10'S|1112|SUN INCA LIFE SCIENCE|73|0|0|67.64|39.77|4.00|-9|10'S|24.00|0.00|AIOCD6034|01/01/2009|31/01/2009
105563|LETROZ-2.5MG TAB               5'S|1112|SUN INCA LIFE SCIENCE|136|0|0|486.20|130.00|4.00|0|5'S|185.00|84.00|AIOCD6034|01/01/2009|31/01/2009
105589|TAMDURA                       10'S|1112|SUN INCA LIFE SCIENCE|84|0|0|96.73|120.88|4.00|-1|10'S|14.00|11.00|AIOCD6034|01/01/2009|31/01/2009
105590|UROTEL-XL 4MG CAP             10'S|1112|SUN INCA LIFE SCIENCE|9|0|0|15.83|131.80|4.00|-1|10'S|20.00|12.00|AIOCD6034|01/01/2009|31/01/2009
105751|LUPRIDE 1MG/0.5               VIAL|1112|SUN INCA LIFE SCIENCE|0|0|0|0.00|152.31|4.00|0|VIAL|4.00|4.00|AIOCD6034|01/01/2009|31/01/2009
106299|FERTIGYN 5000                 VIAL|1112|SUN INCA LIFE SCIENCE|86|82|0|636.83|346.15|4.00|0|VIAL|149.00|40.00|AIOCD6034|01/01/2009|31/01/2009
106337|LUPRIDE DEPOT 3.75            VIAL|1112|SUN INCA LIFE SCIENCE|0|0|0|0.00|3079.23|4.00|0|VIAL|0.00|3.00|AIOCD6034|01/01/2009|31/01/2009
106634|CABERLIN-0.5MG TAB             2'S|1112|SUN INCA LIFE SCIENCE|56|0|0|70.67|85.79|4.00|-1|2'S|22.00|7.00|AIOCD6034|01/01/2009|31/01/2009
106635|DURIZE TAB                    10'S|1112|SUN INCA LIFE SCIENCE|16|0|0|26.78|102.94|4.00|0|10'S|12.00|6.00|AIOCD6034|01/01/2009|31/01/2009
106636|PUREGEST 100MG CAP            10's|1112|SUN INCA LIFE SCIENCE|25|0|0|28.80|80.00|4.00|-1|10's|20.00|5.00|AIOCD6034|01/01/2009|31/01/2009
106637|PUREGEST 200MG CAP            10'S|1112|SUN INCA LIFE SCIENCE|53|0|0|112.21|147.69|4.00|0|10'S|78.00|22.00|AIOCD6034|01/01/2009|31/01/2009
106920|TAMFLO-F                      10'S|1112|SUN INCA LIFE SCIENCE|0|0|0|0.00|96.24|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
107067|CERNOS                        10'S|1112|SUN INCA LIFE SCIENCE|26|0|0|29.05|76.43|4.00|-3|10'S|10.00|20.00|AIOCD6034|01/01/2009|31/01/2009
107175|ULOZET 20                     10'S|1112|SUN INCA LIFE SCIENCE|0|0|0|0.00|34.71|4.00|0|10'S|2.00|2.00|AIOCD6034|01/01/2009|31/01/2009
107176|ULOZET 30                     10'S|1112|SUN INCA LIFE SCIENCE|0|0|0|0.00|49.59|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
107177|ULOZET 40                     10'S|1112|SUN INCA LIFE SCIENCE|0|0|0|0.00|65.16|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
107229|TAMFLO 0.4                    10'S|1112|SUN INCA LIFE SCIENCE|37|0|0|24.70|47.57|4.00|-2|10'S|15.00|0.00|AIOCD6034|01/01/2009|31/01/2009
107530|FERTIGYN 10,000               VIAL|1112|SUN INCA LIFE SCIENCE|3|0|0|42.83|535.39|4.00|0|VIAL|3.00|0.00|AIOCD6034|01/01/2009|31/01/2009
107555|GMH-75                         2ML|1112|SUN INCA LIFE SCIENCE|1|0|0|11.08|553.85|4.00|0|2ML|35.00|34.00|AIOCD6034|01/01/2009|31/01/2009
107712|OVITROP 75                    VIAL|1112|SUN INCA LIFE SCIENCE|3|0|0|38.77|646.15|4.00|0|VIAL|28.00|25.00|AIOCD6034|01/01/2009|31/01/2009
107856|CERNOS GEL                     5GM|1112|SUN INCA LIFE SCIENCE|28|0|0|22.28|39.77|4.00|0|5GM|28.00|0.00|AIOCD6034|01/01/2009|31/01/2009
108718|ANDROBLOK                     10'S|1112|SUN INCA LIFE SCIENCE|12|0|0|28.60|290.46|4.00|0|10'S|2.00|0.00|AIOCD6034|01/01/2009|31/01/2009
108834|XELFLO                        10'S|1112|SUN INCA LIFE SCIENCE|0|0|0|0.00|67.21|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
108885|TROPAN-XL 5                   10'S|1112|SUN INCA LIFE SCIENCE|27|0|0|5.87|73.31|4.00|0|10'S|27.00|0.00|AIOCD6034|01/01/2009|31/01/2009
109665|UROTEL XL 2MG CAP             10'S|1112|SUN INCA LIFE SCIENCE|15|0|0|11.84|74.09|4.00|0|10'S|10.00|0.00|AIOCD6034|01/01/2009|31/01/2009
109732|CABERLIN 0.25MG                2'S|1112|SUN INCA LIFE SCIENCE|21|0|0|15.39|40.55|4.00|-1|2'S|20.00|0.00|AIOCD6034|01/01/2009|31/01/2009
109922|FERTIGYN 2000                 VIAL|1112|SUN INCA LIFE SCIENCE|0|0|0|0.00|224.62|4.00|0|VIAL|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
110256|CERNOS 100MG INJ              VIAL|1112|SUN INCA LIFE SCIENCE|0|0|0|0.00|74.88|4.00|0|VIAL|8.00|8.00|AIOCD6034|01/01/2009|31/01/2009
110257|CERNOS 200MG INJ              VIAL|1112|SUN INCA LIFE SCIENCE|0|0|0|0.00|114.29|4.00|0|VIAL|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
110279|OVURELIX                      VIAL|1112|SUN INCA LIFE SCIENCE|2|0|0|0.00|717.47|4.00|0|VIAL|22.00|20.00|AIOCD6034|01/01/2009|31/01/2009
110376|CABERLIN 1                     2'S|1112|SUN INCA LIFE SCIENCE|0|0|0|0.00|110.35|4.00|0|2'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
110744|AFDURA                        10'S|1112|SUN INCA LIFE SCIENCE|111|0|0|245.61|127.90|4.00|-1|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
112583|TAMLET 4                      10'S|1112|SUN INCA LIFE SCIENCE|3|0|0|5.99|149.73|4.00|0|10'S|2.00|11.00|AIOCD6034|01/01/2009|31/01/2009
113251|TAMLET 2                           10'S|1112|SUN INCA LIFE SCIENCE|1|0|0|2.00|99.82|4.00|0|10'S|20.00|19.00|AIOCD6034|01/01/2009|31/01/2009
113402|DARILONG 7.5                     10'S|1112|SUN INCA LIFE SCIENCE|18|0|0|39.96|124.78|4.00|0|10'S|18.00|0.00|AIOCD6034|01/01/2009|31/01/2009
113505|LUPRIDE DEPOT11.25MG     VIAL|1112|SUN INCA LIFE SCIENCE|1|0|0|0.00|7901.54|4.00|0|VIAL|0.00|1.00|AIOCD6034|01/01/2009|31/01/2009
102278|SUSTEN 300MG CAP              10'S|1205|SUN SPECTRA DIVISION|54|0|0|349.59|233.08|4.00|-4|10'S|25.00|14.00|AIOCD6034|01/01/2009|31/01/2009
104994|ACUCAL TAB                    10'S|1205|SUN SPECTRA DIVISION|192|0|0|170.35|30.42|4.00|0|10'S|0.00|123.00|AIOCD6034|01/01/2009|31/01/2009
104995|ALCAINE MPS                  200ML|1205|SUN SPECTRA DIVISION|153|0|0|97.94|44.53|4.00|0|200ML|74.00|11.00|AIOCD6034|01/01/2009|31/01/2009
104996|ANOFER                        10'S|1205|SUN SPECTRA DIVISION|708|0|0|734.44|38.70|4.00|-31|10'S|462.00|665.00|AIOCD6034|01/01/2009|31/01/2009
104997|ARTISID 25MG CAPS             10'S|1205|SUN SPECTRA DIVISION|68|0|0|38.05|17.94|4.00|0|10'S|38.00|40.00|AIOCD6034|01/01/2009|31/01/2009
104998|ARTISID 50MG CAP              10'S|1205|SUN SPECTRA DIVISION|28|0|0|13.25|26.52|4.00|0|10'S|40.00|32.00|AIOCD6034|01/01/2009|31/01/2009
104999|ANOFER LIQUID                150ML|1205|SUN SPECTRA DIVISION|45|2|0|119.40|57.95|4.00|-1|150ML|128.00|82.00|AIOCD6034|01/01/2009|31/01/2009
